timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303319427,5,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303319432,9,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,219,1,1,http://localhost:5133/api/loans,9,0,0
1781303319441,6,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,289,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319448,5,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,289,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303319454,8,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-7,text,false,,327,218,1,1,http://localhost:5133/api/loans,8,0,0
1781303319462,5,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319468,6,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303319475,4,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303319480,5,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319671,7,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,1
1781303319679,5,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319684,7,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303319691,5,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319696,6,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319703,6,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319709,6,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319715,6,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,218,1,1,http://localhost:5133/api/loans,6,0,0
1781303319722,4,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303319727,5,BorrowBookRequest,404,Not Found,Thread Group 1-8,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319921,18,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,289,219,1,1,http://localhost:5133/api/loans,18,0,1
1781303319939,6,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319946,5,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
